Week Start Date,Category,Value
2020-11-09,deceased_rate,0.004651154302819867
2020-11-16,deceased_rate,0.005667718270472538
2020-11-23,deceased_rate,0.005140663936393883
2020-11-30,deceased_rate,0.007368586035044063
2020-12-07,deceased_rate,0.007687614612638069
2020-12-14,deceased_rate,0.007857112673475946
2020-12-21,deceased_rate,0.0062101657370858074
2020-12-28,deceased_rate,0.007140418119515734
2021-01-04,deceased_rate,0.008258664692384147
2021-01-11,deceased_rate,0.008155972642525464
2021-01-18,deceased_rate,0.007165467900293004
2021-01-25,deceased_rate,0.007062811373049989
2021-02-01,deceased_rate,0.006793236019223666
2021-02-08,deceased_rate,0.006498965645069799
2021-02-15,deceased_rate,0.0038711862653395173
2021-02-22,deceased_rate,0.003988322047972431
2021-03-01,deceased_rate,0.0032712555570922437
2021-03-08,deceased_rate,0.46307668128221563
2021-03-15,deceased_rate,0.3425398974862481
2021-03-22,deceased_rate,0.31131768859073417
2021-03-29,deceased_rate,0.25019661126442105
2021-04-05,deceased_rate,0.29925927324096163
2021-04-12,deceased_rate,0.2202329819873089
2021-04-19,deceased_rate,0.2037620132032194
2021-04-26,deceased_rate,0.19715577887420782
2021-05-03,deceased_rate,0.18363337349364175
2021-05-10,deceased_rate,0.16650947059197688
2021-05-17,deceased_rate,0.1511081649931982
2021-05-24,deceased_rate,0.17699115044247787
2021-05-31,deceased_rate,0.09870525468286145
2021-06-07,deceased_rate,0.09401903457414142
2021-06-14,deceased_rate,0.07776753268285802
2021-06-21,deceased_rate,0.07855238240192478
2021-06-28,deceased_rate,0.05443210021598774
2021-07-05,deceased_rate,0.05691613709027747
2021-07-12,deceased_rate,0.06823686120394856
2021-07-19,deceased_rate,0.06662533883091837
2021-07-26,deceased_rate,0.08348027683360071
2021-08-02,deceased_rate,0.12342785932421123
2021-08-09,deceased_rate,0.15529411764705883
2021-08-16,deceased_rate,0.23095675976220006
2021-08-23,deceased_rate,0.28896245017723965
2021-08-30,deceased_rate,0.33993382116306264
2021-09-06,deceased_rate,0.3526090523302029
2021-09-13,deceased_rate,0.41825657408229067
2021-09-20,deceased_rate,0.41231440282402526
2021-09-27,deceased_rate,0.37738977325668377
2021-10-04,deceased_rate,0.3483933664166494
2021-10-11,deceased_rate,0.2929669093534432
2021-10-18,deceased_rate,0.3107500845596723
2021-10-25,deceased_rate,0.2495960085779634
2021-11-01,deceased_rate,0.2217843032504164
2021-11-08,deceased_rate,0.20263583226036408
2021-11-15,deceased_rate,0.25137870419804464
2021-11-22,deceased_rate,0.13995130317101642
2021-11-29,deceased_rate,0.23716663864216583
2021-12-06,deceased_rate,0.22196505005613829
2021-12-13,deceased_rate,0.24518653213683178
2021-12-20,deceased_rate,0.27229987831446534
2021-12-27,deceased_rate,0.25415992086115613
2022-01-03,deceased_rate,0.3144461276453593
2022-01-10,deceased_rate,0.3592004158121096
2022-01-17,deceased_rate,0.3885542740970151
2022-01-24,deceased_rate,0.4486262755794905
2022-01-31,deceased_rate,0.4542327642125193
2022-02-07,deceased_rate,0.42441908169779635
2022-02-14,deceased_rate,0.38614814857220514
2022-02-21,deceased_rate,0.32182060212188374
2022-02-28,deceased_rate,0.2597848893229472
2022-03-07,deceased_rate,0.21951361117233995
2022-03-14,deceased_rate,0.09296261711340778
2022-03-21,deceased_rate,0.12999555117649517
2022-03-28,deceased_rate,0.11123205022320695
2022-04-04,deceased_rate,0.09151300280722649
2022-04-11,deceased_rate,0.08311396424151934
2022-04-18,deceased_rate,0.06018092255017147
2022-04-25,deceased_rate,0.05652916754105912
2022-05-02,deceased_rate,0.10356377205842614
2022-05-09,deceased_rate,0.050102078725021384
2022-05-16,deceased_rate,0.053753833734133734
2022-05-23,deceased_rate,0.06305363649067318
2022-05-30,deceased_rate,0.048397926387435626
2022-06-06,deceased_rate,0.0656342100304459
2022-06-13,deceased_rate,0.04990731845786872
2022-06-20,deceased_rate,0.06324839675782583
2022-06-27,deceased_rate,0.06120341395272292
2022-07-04,deceased_rate,0.05575012647244848
2022-07-11,deceased_rate,0.07242647434739485
2022-07-18,deceased_rate,0.07452014721928593
2022-07-25,deceased_rate,0.07274295978151793
2022-08-01,deceased_rate,0.08467202614461826
2022-08-08,deceased_rate,0.08226186783860412
2022-08-15,deceased_rate,0.07695465055869417
2022-08-22,deceased_rate,0.08109330623568817
2022-08-29,deceased_rate,0.0899792434245282
2022-09-05,deceased_rate,0.06724098223445533
2022-09-12,deceased_rate,0.0
2022-12-26,deceased_rate,0.0
2020-01-13,recovered_rate,0.0
2020-01-20,recovered_rate,0.0
2020-01-27,recovered_rate,0.0
2020-02-03,recovered_rate,0.0
2020-02-10,recovered_rate,0.0
2020-02-17,recovered_rate,0.0
2020-02-24,recovered_rate,0.0
2020-03-02,recovered_rate,0.0
2020-03-09,recovered_rate,0.0
2020-03-16,recovered_rate,0.0
2020-03-23,recovered_rate,0.03323922434928025
2020-03-30,recovered_rate,0.07594800863495837
2020-04-06,recovered_rate,0.22099327330094734
2020-04-13,recovered_rate,0.33104550862043375
2020-04-20,recovered_rate,0.33249077432801843
2020-04-27,recovered_rate,0.32618918088546134
2020-05-04,recovered_rate,0.35906621969882757
2020-05-11,recovered_rate,0.28424167114681986
2020-05-18,recovered_rate,0.26149520493970385
2020-05-25,recovered_rate,0.2620124167822501
2020-06-01,recovered_rate,0.22827647702697124
2020-06-08,recovered_rate,0.18898653502780643
2020-06-15,recovered_rate,0.1770158211687311
2020-06-22,recovered_rate,0.15230543461574658
2020-06-29,recovered_rate,0.1795841315376894
2020-07-06,recovered_rate,0.19603307006473966
2020-07-13,recovered_rate,0.21037854030745606
2020-07-20,recovered_rate,0.2610252142940893
2020-07-27,recovered_rate,0.2388742333587899
2020-08-03,recovered_rate,0.2419440738769094
2020-08-10,recovered_rate,0.2089331468044666
2020-08-17,recovered_rate,0.18339549529579785
2020-08-24,recovered_rate,0.16131163813714422
2020-08-31,recovered_rate,0.15786178344750126
